Month,Day,Max_Temp,Avg_Temp,Min_Temp,Max_DewPoint,Avg_DewPoint,Min_DewPoint,Max_Humidity,Avg_Humidity,Min_Humidity,Max_WindSpeed,Avg_WindSpeed,Min_WindSpeed,Max_Pressure,Avg_Pressure,Min_Pressure,Total_Precipitation
Jun,15,32.78,27.22,21.11,23.33,21.44,18.89,87,71.7,54,12,5.1,0,30,29.9,29.9,0
Jun,16,34.44,27.28,23.33,23.33,21.67,19.44,87,72.9,44,18,4.3,0,29.9,29.9,29.8,0.05
Jun,17,33.33,26.00,22.78,23.89,22.06,20.56,87,79.6,54,28,6.6,0,29.9,29.9,29.9,0
Jun,18,31.67,27.28,24.44,25.56,23.39,21.67,88,79.5,61,12,4.6,0,29.9,29.9,29.8,1.44
Jun,19,30.56,26.28,24.44,25.56,23.22,21.67,88,82.9,74,31,8.4,3,29.9,29.8,29.8,0.36
Jun,20,32.22,28.06,23.89,25.56,24.44,22.78,94,81.1,62,30,10.1,5,29.9,29.8,29.8,2.33
Jun,21,33.89,28.94,25.56,25.56,24.78,23.33,96,79.3,54,14,10.4,7,29.9,29.9,29.8,0.31
Jun,22,33.33,28.72,24.44,25.56,24.56,23.33,100,79.3,55,13,8.2,3,30,29.9,29.9,0
Jun,23,33.89,28.44,23.33,25.00,23.56,22.22,100,76.5,52,10,5.5,0,30,29.9,29.9,0
Jun,24,33.89,28.11,22.78,25.00,22.56,20.00,100,74.6,45,14,5.7,0,29.9,29.9,29.8,0
Jun,25,34.44,29.11,23.89,26.11,24.33,22.22,100,77,50,14,5.8,0,29.9,29.9,29.8,0
Jun,26,34.44,28.94,23.33,23.89,21.56,18.89,91,66.6,40,12,5.8,0,30,29.9,29.9,0
Jun,27,33.33,26.83,20.00,21.11,20.06,18.89,97,69.2,42,10,3.9,0,30,29.9,29.9,0
Jun,28,33.89,27.22,21.11,23.89,21.56,19.44,100,73.4,44,21,7,0,30,29.9,29.9,0
Jun,29,31.67,25.89,22.78,23.33,21.94,20.00,97,80.2,50,22,5.3,0,30,30,29.9,0
Jun,30,32.22,26.39,21.67,23.33,22.50,21.11,100,80.7,57,10,3.6,0,29.9,29.9,29.8,0
Jul,1,34.44,28.06,22.78,23.89,22.78,21.67,100,74.9,51,10,6.5,0,29.9,29.9,29.8,0
Jul,2,34.44,27.61,24.44,24.44,23.39,21.11,97,79.7,50,20,7.8,0,29.9,29.8,29.8,0
Jul,3,35.00,27.72,23.89,25.00,22.28,-17.78,100,77.3,0,25,5.6,0,29.8,29.8,29.7,0.58
Jul,4,33.89,27.11,23.33,24.44,23.28,22.22,100,81.4,54,14,4,0,29.9,29.8,29.8,0.51
Jul,5,30.56,24.61,22.22,25.56,23.39,22.22,100,93.5,72,16,4.5,0,30,29.9,29.9,0.07
Jul,6,29.44,25.44,22.22,25.00,23.33,21.67,100,89,63,13,4.4,0,30,29.9,29.9,0.44
Jul,7,30.00,26.50,22.78,25.56,23.56,21.67,97,84.2,72,13,4.9,0,29.9,29.8,29.8,0
Jul,8,33.89,27.06,22.78,25.56,23.11,21.67,100,80.8,50,10,4.3,0,29.8,29.8,29.7,0.01
Jul,9,33.33,26.67,23.33,25.56,24.56,22.78,100,89.2,59,20,5,0,29.8,29.8,29.7,0.03
Jul,10,31.67,26.83,23.89,25.00,23.83,22.22,100,84.5,59,14,5.9,0,29.9,29.8,29.8,0.1
Jul,11,33.33,26.33,22.78,24.44,23.50,22.22,100,85.8,53,21,6.2,0,29.9,29.8,29.8,0
Jul,12,33.33,25.11,22.78,24.44,22.94,21.67,100,88.9,54,14,4.8,0,29.9,29.9,29.8,0.3
Jul,13,32.78,27.00,21.67,24.44,22.56,21.67,100,78.5,53,9,3.5,0,30,29.9,29.9,0.04
Jul,14,33.89,28.39,23.33,25.56,22.89,21.11,100,74.5,48,7,2.3,0,30,30,29.9,0
Jul,15,33.89,27.50,22.78,23.89,22.56,20.00,97,76.5,49,13,3.6,0,30,29.9,29.9,0
Jul,16,33.89,28.72,22.22,24.44,23.33,22.22,100,74.4,55,12,4.1,0,30,29.9,29.9,0
Jul,17,33.33,25.28,21.67,23.89,12.78,-17.78,100,64.8,0,9,1.1,0,30,30,29.9,0
Jul,18,32.78,25.50,-17.78,23.89,12.78,-17.78,100,54.8,0,8,2,0,30,28.7,0,0
Jul,19,32.78,25.33,22.22,24.44,22.39,18.89,97,84.6,53,30,4.3,0,30,29.9,29.9,0
Jul,20,32.78,24.61,20.56,23.33,21.61,20.00,100,85.3,52,23,3.1,0,30,29.9,29.9,0.25
Jul,21,32.22,25.33,20.56,23.89,21.56,20.00,97,81.2,55,17,4.6,0,29.9,29.9,29.9,0.03
Jul,22,31.67,26.17,20.00,23.89,21.78,19.44,96,78,57,14,4.7,0,29.9,29.9,29.8,0.03
Jul,23,30.56,26.17,21.67,24.44,22.22,21.11,97,79.9,63,13,5.6,0,29.8,29.8,29.7,0.03
Jul,24,27.78,23.89,21.67,24.44,22.33,21.11,100,91.3,76,13,5,0,29.9,29.8,29.7,0
Jul,25,27.22,23.72,20.56,22.78,21.67,20.00,100,88.4,74,13,4.5,0,29.9,29.9,29.8,1.38
Jul,26,26.67,23.83,20.56,23.89,22.28,20.00,97,91,79,9,2.5,0,30,30,29.9,0.06
Jul,27,30.56,24.39,21.11,23.33,21.89,20.56,97,86.6,59,13,3.4,0,30.1,30,30,0.22
Jul,28,31.11,25.61,22.22,23.89,22.39,21.67,97,82.7,61,15,6.5,0,30,30,29.9,0.06
Jul,29,32.22,25.72,21.67,25.00,21.67,20.56,93,79.3,55,14,5.5,0,29.9,29.9,29.8,0.04
Jul,30,33.33,26.89,20.00,23.33,20.67,15.56,100,72.3,37,9,3.2,0,29.9,29.9,29.8,0.02
Jul,31,32.22,26.61,22.78,25.00,22.33,19.44,100,78.7,55,13,4,0,29.9,29.9,29.9,0
Aug,1,32.78,25.56,21.11,22.78,20.89,19.44,94,77.2,45,15,5,0,29.9,29.9,29.9,0
Aug,2,29.44,25.39,22.78,22.78,22.39,21.67,96,83.9,67,20,5.1,0,29.9,29.8,29.8,0
Aug,3,31.67,25.83,21.11,24.44,22.06,20.56,100,81.1,53,9,2.1,0,29.8,29.8,29.7,0
Aug,4,32.78,27.00,22.78,24.44,22.72,21.11,100,79.5,53,10,4.1,0,29.9,29.8,29.8,0
Aug,5,33.33,27.50,23.33,23.33,22.17,21.11,93,74.2,50,14,4.9,0,29.9,29.8,29.8,0
Aug,6,31.67,26.83,23.89,23.89,22.78,21.67,94,79.1,55,23,5.7,0,29.9,29.8,29.8,0.02
Aug,7,29.44,25.94,23.89,25.00,23.61,22.22,96,87.2,74,15,5.5,0,29.9,29.8,29.8,0.62
Aug,8,31.67,26.33,23.33,25.56,23.44,21.11,97,84.8,65,25,5.4,0,29.9,29.8,29.8,0.03
Aug,9,33.89,27.94,23.89,25.56,24.11,22.78,97,81.2,56,14,7.2,0,29.8,29.8,29.8,0.59
Aug,10,34.44,28.78,25.00,26.11,24.72,23.33,97,80.1,52,14,5.7,0,29.8,29.8,29.7,0
Aug,11,33.89,27.78,23.33,25.56,23.94,22.22,100,81.1,56,18,6.3,0,29.9,29.8,29.7,0
Aug,12,33.33,25.72,22.78,26.11,23.67,22.22,100,89.3,59,13,3.3,0,29.8,29.8,29.7,1.22
Aug,13,33.89,26.72,22.78,25.56,23.61,22.22,100,84.6,52,12,3.1,0,29.8,29.8,29.7,0.62
Aug,14,33.33,27.22,23.33,25.56,23.78,22.78,97,82.2,59,10,4.1,0,29.8,29.8,29.7,0
Aug,15,28.89,25.39,23.89,25.56,24.06,22.78,96,92.5,79,16,7,0,29.8,29.8,29.8,0.07
Aug,16,25.00,23.94,23.33,24.44,23.06,22.22,97,95,93,14,8.8,5,29.9,29.8,29.8,0.43
Aug,17,24.44,23.44,21.67,23.33,22.50,21.11,97,94.5,90,18,7.7,0,29.9,29.9,29.8,1.78
Aug,18,27.22,23.89,22.78,23.89,22.44,21.67,97,91.7,77,16,6.7,0,30,29.9,29.9,0.54
Aug,19,30.00,24.78,22.78,23.89,20.44,-17.78,96,82.6,0,22,4.4,0,30,29.9,29.9,0.14
Aug,20,31.67,25.72,22.22,24.44,22.67,21.67,97,84.1,57,15,5.1,0,30,29.9,29.9,0.36
Aug,21,33.33,25.61,21.67,23.89,22.33,21.11,100,84.2,50,15,3.5,0,30,29.9,29.9,0
Aug,22,32.78,27.39,22.22,23.89,22.61,21.67,97,77.3,52,10,3.2,0,29.9,29.9,29.8,0.09
Aug,23,33.33,27.44,21.67,24.44,22.22,20.56,100,75.7,47,8,2.8,0,29.9,29.9,29.8,0
Aug,24,33.89,27.33,22.22,23.89,22.67,21.67,97,77.9,52,9,4.1,0,29.9,29.8,29.8,0
Aug,25,31.67,26.28,22.78,25.00,23.50,22.22,97,85.4,63,14,5.5,0,29.9,29.8,29.8,0
Aug,26,33.33,25.17,22.22,23.89,22.33,20.56,100,85.6,55,37,5.6,0,29.9,29.8,29.8,0.01
Aug,27,31.67,25.00,21.67,24.44,23.00,21.11,100,89,61,24,3.4,0,29.9,29.8,29.8,2.24
Aug,28,32.78,26.67,22.78,24.44,23.39,22.22,97,83.2,57,18,4.3,0,29.8,29.8,29.7,0
Aug,29,33.89,27.61,22.22,24.44,22.78,20.56,97,77.3,48,12,4.8,0,29.9,29.8,29.8,0.38
Aug,30,30.56,25.83,22.78,25.56,23.33,22.22,100,86.6,65,15,7.8,0,29.9,29.8,29.8,0
Aug,31,32.22,26.94,23.33,24.44,23.44,22.22,100,82.2,57,12,6,0,29.9,29.9,29.8,0.01
