Box_ID,1st_Minimum,1st_Average,1st_Maximum,1st_Peak,1st_Date_and_time,2nd_Minimum,2nd_Average,2nd_Maximum,2nd_Peak,2nd_Date_and_time,3rd_Minimum,3rd_Average,3rd_Maximum,3rd_Peak,3rd_Date_and_time,4th_Minimum,4th_Average,4th_Maximum,4th_Peak,4th_Date_and_time,5th_Minimum,5th_Average,5th_Maximum,5th_Peak,5th_Date_and_time,,,,,,
16,54.2,60.6,66.3,72.2,3/15 1:08-1:11,55.5,62.8,74,78.5,3/19 1:25-1:28,53.5,63,77.6,85.5,3/22 3:35-3:38,55.2,59.2,71.1,80.1,3/30 10:02-10:05am,51.9,59,65.6,71.4,7/5/22 13:23,,,,,,
18,60.6,74.7,91,98.2,3/19/19 13:35,57.4,76.5,96.1,101.3,3/23/19 14:47,58.7,65.7,80.6,86,3/28/19 18:18,57.8,72,98.2,107.3,4/5/22 17:54,,,,,,,,,,,
19,68,76.6,90.7,96.6,5/2/22 11:25,68.3,72.3,82.7,86,,,,,,,,,,,,,,,,,,,,,,
20,51.1,60.9,77.3,83.6,3/22/19 14:38,43.1,52.1,71.6,79.3,3/28/22 10:44,50.5,55.3,59.2,63.9,4/18/22 9:45,55.2,60.1,64.6,68.1,4/23/22 9:32,,,,,,,,,,,
21,58.3,88.8,104.4,110.4,3/19/22 13:40,54.6,69.9,88.6,95.5,3/23/22 14:54,56.5,69.5,87.8,92.6,3/28/22 18:23,58.4,65,81.6,89,4/5/22 17:59,,,,,,,,,,,
22,53.2,65.8,87.4,89.8,3/15 1:36-1:39,57.9,63.5,73.9,82.5,3/19 12:44-12:47,50.5,59.1,76.2,85.7,3/22 4:01-4:04,57.9,63.7,69.3,72.9,3/30 10:37-10:40am,55.5,62.9,73.7,81.1,7/5/22 14:01,,,,,,
23,42.8,51.1,56.6,59.7,3/22/22 14:50,40.2,40.5,58.6,64.6,3/22/22 13:47,51.4,63.3,82.6,92,4/18/22 10:09,,,,,,,,,,,,,,,,
24,54.9,60.7,69.7,74.5,3/15 2:00-2:03,55.3,60.7,68.4,76.3,3/19 1:20-1:23,53.3,58.4,71.6,77.1,3/22 4:30-4:33,56,61.4,73.3,76.9,3/30 10:07-10:10am,52.2,56.4,65.7,69.4,7/5/22 13:33,,,,,,
25,58,76.1,96.9,100.6,3/19/19 12:57,53.7,60.7,74.7,82.2,3/23/22 14:04,57.2,62.7,71.6,77.1,3/28/22 17:42,57.3,75.9,92.6,97.9,4/5/22 17:12,,,,,,,,,,,
26,56.1,64.6,78.2,84.5,3/15 12:50-12:53,67.4,70.3,78.1,83.3,3/19 12:19-12:22,59.5,66,76.3,80.2,3/22 3:21-3:24,57.1,63.1,69.6,76.1,3/30 9:45-9:48am,,,,,,,,,,,
27,53.1,66.4,82.5,87.4,3/19 7:02-7:05pm,56.3,71.4,88.7,95,3/22 4:45-4:48,55.7,60.6,71.9,80.2,3/30 9:25-9:28 am,52.8,60.5,74.2,81.3,5/2/22 10:24,,,,,,,,,,,
28,74 .5,85.8,96.8,,,55.2,62,70.5,72.5,,55,60.8,73.7,76.7,,61.5,68.8,82.9,89.7,,,,,,,,,,,,
30,62,75.5,88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,67.2,71.3,82.2,86.1,5/2/22 11:04,61.3,63.7,66.1,71.2,,,,,,,,,,,,,,,,,,,,,,
32,58.2,67,82.2,85.2,3/15 12:41-12:44,59.5,65.9,80.4,84.8,3/19 11:50-11:53,58.1,69,85.7,91,3/22 3:16-3:19,59.1,64,77.2,83,3/30 9:34-9:37am,58.5,65.7,73.8,77.8,7/5/22 13:00,,,,,,
33,68.4,90.9,107,,,55.6,61.9,70,76.3,,54.4,59.9,72.5,79.2,,58.6,68.7,85.3,91.2,,,,,,,,,,,,
35,50.4,55.4,67.6,74.1,3/15 1:41-1:44,54.7,71.1,88.2,94.5,3/19 12:38-12:41,48.6,55,65.6,72.3,3/22 4:06-4:09,53.7,64.1,71.9,77.6,3/30 10:41-10:44am,57.4,63.3,80.5,81.1,7/5/22 14:05,,,,,,
36,57.7,63.4,73.3,80.3,5/2/22 11:32,60.1,66.9,77.3,78.3,,,,,,,,,,,,,,,,,,,,,,
37,56.8,64.4,70.3,74,3/15 1:55-1:58,57.9,65.7,80.3,86.4,3/1912:23-12:26,57.9,65.1,79.3,85.2,3/22 4:20-4:23,54.2,64.6,73.4,82,3/30 10:58-11:01am,60.9,68.1,81.3,88.6,7/5/22 14:17,,,,,,
38,54.7,61.2,74,82.5,3/15 1:27-1:30,53.5,57.5,66.1,72.2,3/19 12:55-12:58,52.2,65.5,85.8,89.4,3/22 3:53-3:56,52.9,56.2,62.1,68.2,3/30 10:29-10:32am,55,60.7,73,79.4,7/5/22 13:56,,,,,,
39,69.5,72.4,77.7,81.6,5/2/22 11:20,67.2,72.7,75.1,80.8,,,,,,,,,,,,,,,,,,,,,,
41,44.1,68.7,94.4,98,3/24/19 14:23,,,,,,,,,,,,,,,,,,,,,,,,,,
43,52.6,60.4,69,74.8,3/15 1:32-1:35,54.4,65.9,77.6,83,3/19 12:49-12:52,52.4,61.8,71,77.2,3/22 3:57-4:00,51,56.6,71.6,78.2,3/30 10:33-10:36am,,,,,,,,,,,
44,74.4,88.7,102.6,,,58.3,67.1,79.7,87.2,,59.2,65.5,77.5,78.8,,65,75.3,87.7,92.1,,,,,,,,,,,,
46,52.3,58,64.6,68.8,,51.7,56.4,66.1,66.6,,56.8,63.3,75.9,81.4,,,,,,,,,,,,,,,,,
47,63.7,87.6,101.6,,,53.6,65.8,82.4,89.9,,,,,,,,,,,,,,,,,,,,,,
48,63.4,85.5,97.3,85.5,3/19/22 12:12,57.7,67.3,86.6,91.5,3/23/22 13:22,63.4,85.1,108.7,112.1,3/28/22 17:02,59.5,65.3,83,88,4/5/22 16:31,,,,,,,,,,,
49,53.6,59.5,64.8,69.9,3/15 1:46-1:49,55.5,69.4,83.7,87.7,3/19 12:33-12:36,57.1,64.4,74.8,81,3/22 4:10-4:13,55,58.6,71.4,65.8,3/30 10:45-10:48am,57.6,62,70.3,76.3,7/5/22 14:09,,,,,,
50,55.5,63,72.7,79.5,3/15 1:13-1:16,49.7,54.6,62.6,70.5,3/19 1:10-1:13,52.7,58.2,63.8,69.8,3/22 3:40-3:43,52.3,59.2,80.4,86.8,3/30 10:15-10:18am,50.3,56.9,68.9,76.7,7/5/22 13:43,,,,,,
51,56.5,75.3,90.3,94.3,3/15 12:45-12:48,52.9,63.4,74.4,81.7,3/19 11:56-11:59,54.4,65.6,75.2,80.9,3/22 3:12-3:15,56,63.6,72.5,77.8,3/30 9:40-9:43am,48.9,62.5,72.6,78.6,7/5/22 13:04,,,,,,
53,59.8,66.4,80.6,84.8,3/15 12:58-1:01,57.8,63,77.3,83.7,3/19 12:10-12:13,56.5,63.8,71.7,78.1,3/22 3:30-3:33,58.8,63.2,68.7,74.4,30/30 9:54-9:57am,53.4,60.4,76.1,82.6,7/5/22 13:14,,,,,,
54,48.2,70.2,85.2,93.5,3/24/19 14:43,54,68,88.6,94.8,3/28/19 9:24,41.2,53.3,78.3,81.8,3/22/22 13:40,51.5,68.7,85.7,91,4/18/22 10:37,,,,,,,,,,,
55,52.4,56.5,69.9,72,5/9 1:23-1:26pm,60.4,65,75.3,79.3,,54.3,60.8,72.2,81,5/13 10:17-10:20 am,,,,,,54.3,60.3,73.6,79.4,7/5/22 13:29,,,,,,
56,67.7,85.3,104.5,,,56.4,68.9,87,89.5,,56.9,61.7,71.9,78.2,,61.2,68.2,76,81.8,,,,,,,,,,,,
57,51.2,60.3,75.7,77.5,4/21/22 13:37,57.9,63.9,75,82.9,4/23/22 10:03,60.1,66.3,78.3,83,5/2/22 9:30,54.7,61,69.9,77.5,,,,,,,,,,,,
59,35.1,44.6,"80,1",86.5,3/24/19 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,
60,74.4,87.6,101.6,,,57.4,63.5,72.7,80.2,,60.8,67,73.6,76.4,,61.8,72.3,79.8,81.2,,,,,,,,,,,,
61,52.1,68.1,82.8,89.3,3/22/19 14:54,49.9,66.4,88,91.7,3/24/19 13:56,53.6,71.4,92.8,96.9,3/28/19 11:02,54.5,61,76.4,80.7,4/18/22 10:14,,,,,,,,,,,
62,39.1,46.6,72.1,77,3/22/22 14:20,35.7,38,66.1,73,3/24/22 13:33,44.6,46,77.1,84.7,3/28/22 10:33,54.3,70.3,87.5,92.3,4/18/22 9:26,,,,,,,,,,,
63,43,52.4,64,68.9,3/22/22 13:27,37.5,52.5,64.5,70.2,3/24/22 14:47,52.4,64.4,84.5,91.2,3/28/19 9:30,,,,,,,,,,,,,,,,
64,39.4,47.1,72.9,79.7,3/24/19 14:37,,,,,,,,,,,,,,,,,,,,,,,,,,
65,40.6,50,77.3,83.5,3/22/22 14:10,35.5,40.3,71,77.4,3/24/22 13:16,53.7,67.3,84.2,90.8,3/28/19 10:17,54.9,61.2,71.5,76.8,4/18/22 9:08,,,,,,,,,,,
66,45.7,51,65.3,71.6,3/22/22 14:30,58.3,69.7,83,90.1,4/18/22 9:34,58,61.8,69.9,72.1,4/23/22 9:22,,,,,,,,,,,,,,,,
67,54.2,63.7,77.6,86.2,3/15 1:03-1:06,60.8,64.8,69.3,74.9,3/19 12:04-12:07,56.1,66.7,82.4,91.9,3/22 3:30-3:33,55.2,61.7,72.6,79.7,3/30 9:58-10:01am,53.9,60.2,71.9,79.4,7/5/22 13:18,,,,,,
68,40.1,45.9,74.7,81.7,3/22/22 15:20,37.6,40.1,68.3,73.2,3/24/19 14:15,52.6,69.8,91.2,96.2,3/28/19 9:51,52.4,73.7,88.6,94.8,4/18/22 10:30,,,,,,,,,,,
69,34.9,47.6,78.4,86.8,3/24/22 14:20,,,,,,,,,,,,,,,,,,,,,,,,,,
70,52.9,77,96.1,102.3,3/22/19 14:11,48.8,65.1,87,96.2,3/24/19 13:18,41.6,44.4,65.5,74.2,3/28/22 10:18,51.8,61.1,79.6,82.8,4/18/22 9:04,,,,,,,,,,,
71,2.1,46.1,62.1,67.9,3/22/19 13:20,37.8,47.2,63.8,66.1,3/24/19 14:40,51.9,64.3,75.5,79,3/28/19 9:36,,,,,,,,,,,,,,,,
72,65.3,79.9,96.1,,,58,65.5,78.6,82.8,,56.9,62,68.4,73.4,,56.3,63.7,72.1,80.1,,,,,,,,,,,,
73,40.7,64.6,83.5,86.7,3/22/22 14:15,35.5,43.9,81,84.7,3/24/22 1:23,43.5,73.3,92.5,97.6,3/28/22 10:25,55.6,79.3,92.2,98.1,4/18/22 9:13,,,,,,,,,,,
74,55.7,62.3,73.5,77.1,3/15 12:54-12:57,60.4,68.3,79.8,86.7,3/19 12:15-12:18,60.2,67.8,77.5,82.2,3/22 3:25-3:28,57.6,61.5,66.6,71.7,3/30 9:50-9:53am,56.4,61.9,68.5,73.3,7/5/22 13:09,,,,,,
75,53.8,70,91,94.8,3/22/19 14:31,50.5,69.7,90.6,96.5,3/24/19 13:34,55.6,67.9,84.8,91.7,3/28/19 10:36,52.7,60.6,82.6,86.6,4/18/22 9:30,,,,,,,,,,,
76,57.5,85.1,102.3,105.7,3/22/19 15:00,41.9,50.1,75.2,84.6,3/24/22 14:00,56.5,74.5,90.4,95.7,3/28/19 11:07,56,81.8,93.6,98.5,4/18/22 10:18,,,,,,,,,,,
77,64.2,89.7,108,112.4,3/19/22 12:29,54.3,69.4,88.8,94.3,3/23/22 13:43,61.6,86.5,103.2,107.7,3/28/22 17:23,55.7,72,90.7,99.4,4/5/22 16:39,,,,,,,,,,,
78,43.7,54.9,74.7,83.4,3/22/22 15:04,50.2,64.6,79.5,85,3/24/19 13:59,45.8,65.2,82.1,90.2,,,,,,,,,,,,,,,,,
79,64.4,83.9,100.9,,,58.2,66.3,84.9,92.7,4/21/22 13:46,57.8,64.3,72.5,78.6,4/23/19 10:11,60.1,71.1,85.6,90.9,5/2/22 9:22,,,,,,,,,,,
80,57.1,61.3,79.6,84.6,4/18/22 9:38,57.6,63.7,73.7,77.6,4/23/22 9:26,,,,,,,,,,,,,,,,,,,,,
81,59.9,77.5,95.7,103.7,3/19/22 13:14,57.1,63.8,81.7,87.9,3/23/22 14:23,58,73.5,91.1,98.3,3/28/22 17:58,57.3,62.6,74.7,84.2,4/5/22 17:28,,,,,,,,,,,
82,76.8,76.8,96.4,100,3/22/19 14:18,35.8,42.9,76.5,81.3,3/24/22 1:28,53,64.8,84.8,90.2,3/28/19 10:29,52.4,59.8,71.9,80.4,4/18/22 9:18,,,,,,,,,,,
83,57.7,77.1,91,99.2,3/19/22 13:03,55.2,64.4,83.1,91.9,3/23/22 14:12,58,70.2,86.1,93.5,3/28/22 17:49,56.1,68.3,88.3,93.1,4/5/22 17:18,,,,,,,,,,,
84,59,72,95.5,101.2,3/19/22 13:24,58.7,67.4,92.8,102,3/23/22 14:33,57.1,65.6,75.6,83.6,3/28/22 18:07,58.3,66.3,76.2,82.6,4/5/22 17:38,,,,,,,,,,,
85,68.8,83.8,100.6,,,58.4,68.5,84.7,91.6,4/21/22 13:33,61.1,67.9,79.2,85.8,4/23/22 9:59,57.8,68.6,82.2,88.2,5/2/22 9:33,,,,,,,,,,,
86,63.8,89.1,101.7,,,56.2,72.9,84.3,89.2,,60,71.1,78.8,80.9,,,,,,,,,,,,,,,,,
87,68.4,79.7,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,51.8,76.8,95.9,102.6,3/22/19 14:23,46.5,71.2,88.3,97,3/24/19 13:27,55.3,72.9,91,96,3/28/19 10:26,52.8,62.3,84.5,93.6,4/18/22 9:22,,,,,,,,,,,
89,63.8,74.7,92.5,98,3/19/22 12:34,57.3,68.6,82.3,85.9,3/23/22 13:36,63.6,70.7,84.8,87.2,3/28/22 17:18,62.2,68,76.2,82.5,4/5/22 16:44,,,,,,,,,,,
90,60.5,80.5,100.6,105.4,3/19/22 13:29,57,75.1,95.8,100.2,3/23/22 14:41,59.2,70.3,84,91.1,3/28/22 18:14,56.3,69.2,84.9,94.4,4/5/22 17:47,,,,,,,,,,,
91,66.8,83.1,89.5,,,53.4,72.6,90.5,94.7,4/21/22 13:05,54.5,64.4,82.1,86.8,4/23/22 9:45,55.5,64.2,76.9,84.6,5/2/22 9:18,,,,,,,,,,,
92,57.9,67.8,81.8,86.6,3/19/22 13:08,55.6,64.5,75.7,81.1,3/23/22 14:17,56.8,62.1,70,79,3/28/22 17:53,58.6,63.4,71.7,78.4,4/5/22 17:23,,,,,,,,,,,
93,62.7,91.3,105.5,112.5,3/19/22 12:47,59.3,73.3,85.6,92.8,3/23/22 13:58,64.6,82.8,100,105.9,3/28/22 17:35,62.5,74.8,93.3,98.7,4/5/22 17:05,,,,,,,,,,,
94,43.9,63.4,79,87.2,3/24/19 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,
96,40.5,46.4,67.9,73.5,3/22/22 3:16,36.6,39.7,74.8,82.3,3/24/22 14:09,52.8,68.4,84.8,90.3,3/28/19 9:55,,,,,,,,,,,,,,,,
97,39.9,50.9,85.1,90.2,3/22/22 15:00,38.6,40.3,63.6,70,3/24/22 13:53,42.3,46.2,64.2,70.3,3/28/22 11:04,,,,,,,,,,,,,,,,
98,60,80.7,96.8,104.6,3/19/22 12:22,56.7,66.1,79.2,87.4,3/23/22 13:29,61.3,74.2,92.4,97.7,3/28/22 17:09,57.5,68,80.8,85.2,4/5/22 16:51,,,,,,,,,,,
99,61.1,70.4,85.5,92.6,3/19/22 12:42,59.6,75.8,91.8,99.2,3/23/22 13:51,61.2,76.3,95.7,104.7,3/28/22 17:31,60,79.6,94.3,99.3,4/5/22 16:58,,,,,,,,,,,
100,61.5,72.1,85.7,93,3/19/22 13:19,61.8,69.4,88.7,98.1,3/23/22 14:28,60,74,94.7,97.8,3/28/22 18:03,60.3,66.2,73.6,76.5,4/5/22 17:33,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
